bin_value,count
5,5
6,4
7,4
8,2
9,0
10,11
11,13
12,3
13,4
14,4
15,1
16,2
17,5
18,15
19,14
20,24
21,12
22,10
23,9
24,31
25,108
26,17
27,14
28,13
29,4
30,83
31,9
32,14
33,6
34,1232
35,1729
36,2339
37,10
38,114
39,756
40,6
41,1
42,12
43,10
44,7
45,24
46,21
47,13
48,14
49,36
50,8
51,5
52,5
53,55
54,12
55,4
56,9
57,8
58,29
59,8
60,3
61,1
62,14
63,7
64,2
65,1
66,2
67,2
68,79
69,10
70,17
71,7
72,8
73,0
74,8
75,3
